source_file,metric,i,j,value,err,value_upup,err_upup,value_updn,err_updn
example.out,Green's function,0,0,0.5,0.0,,,,
example.out,Green's function,0,1,-0.12386918055881,0.0001446706943955766,,,,
example.out,Green's function,0,2,8.84477042769362e-12,8.904235494696548e-12,,,,
example.out,Green's function,0,3,-0.02971054818318571,0.0002104410301028966,,,,
example.out,Green's function,0,4,-1.42353670376906e-12,2.302576722832605e-12,,,,
example.out,Green's function,1,1,2.799686649830024e-12,1.027980131723209e-11,,,,
example.out,Green's function,1,2,0.01072276642244585,0.0001197561084502154,,,,
example.out,Green's function,1,3,-1.28241721059787e-12,1.085139985128885e-12,,,,
example.out,Green's function,1,4,0.01221587719734672,0.0001877137593977133,,,,
example.out,Green's function,2,2,9.922751451512869e-13,1.351860179703457e-12,,,,
example.out,Green's function,2,3,-0.002110337615416062,7.285266559101384e-05,,,,
example.out,Green's function,2,4,5.690448453970387e-14,5.923610080835927e-13,,,,
example.out,Green's function,3,3,1.834310185082149e-13,3.724261034430489e-13,,,,
example.out,Green's function,3,4,-2.099982085665072e-05,2.551571171146589e-05,,,,
example.out,Green's function,4,4,4.136806844094324e-13,5.042910295574968e-13,,,,
example.out,density-density correlation fn,0,0,,,0.5,0.0,0.25,0.0
example.out,density-density correlation fn,0,1,,,0.19386,2.8e-05,0.25,0.0
example.out,density-density correlation fn,0,2,,,0.250318,1e-06,0.25,0.0
example.out,density-density correlation fn,0,3,,,0.247426,2.4e-05,0.25,0.0
example.out,density-density correlation fn,0,4,,,0.25005,1e-06,0.25,0.0
example.out,density-density correlation fn,1,1,,,0.250255,2e-06,0.25,0.0
example.out,density-density correlation fn,1,2,,,0.248961,1e-05,0.25,0.0
example.out,density-density correlation fn,1,3,,,0.25005,1e-06,0.25,0.0
example.out,density-density correlation fn,1,4,,,0.249454,6e-06,0.25,0.0
example.out,density-density correlation fn,2,2,,,0.250056,1e-06,0.25,0.0
example.out,density-density correlation fn,2,3,,,0.249817,6e-06,0.25,0.0
example.out,density-density correlation fn,2,4,,,0.250033,1e-06,0.25,0.0
example.out,density-density correlation fn,3,3,,,0.250024,1e-06,0.25,0.0
example.out,density-density correlation fn,3,4,,,0.249904,5e-06,0.25,0.0
example.out,density-density correlation fn,4,4,,,0.250016,1e-06,0.25,0.0
example.out,density-density correlation function,0,0,1.50000000000246,0.0,,,,
example.out,density-density correlation function,0,1,0.887719403503192,5.615460000447138e-05,,,,
example.out,density-density correlation function,0,2,1.00063664624779,1.794208043891662e-06,,,,
example.out,density-density correlation function,0,3,0.994851655059298,4.70068385148539e-05,,,,
example.out,density-density correlation function,0,4,1.00010092724235,1.48922326845522e-06,,,,
example.out,density-density correlation function,1,1,1.00051032922783,4.582108234386618e-06,,,,
example.out,density-density correlation function,1,2,0.997922073605221,2.030267018979945e-05,,,,
example.out,density-density correlation function,1,3,1.0000998434445,2.528860495547468e-06,,,,
example.out,density-density correlation function,1,4,0.998907316559428,1.221352804193204e-05,,,,
example.out,density-density correlation function,2,2,1.00011252399124,2.434612970778577e-06,,,,
example.out,density-density correlation function,2,3,0.999633814088576,1.130259655110866e-05,,,,
example.out,density-density correlation function,2,4,1.00006641829404,1.920185044562544e-06,,,,
example.out,density-density correlation function,3,3,1.0000472052271,1.968239476667719e-06,,,,
example.out,density-density correlation function,3,4,0.99980835173705,9.286194783192262e-06,,,,
example.out,density-density correlation function,4,4,1.00003167266242,1.42331945721523e-06,,,,
example.out,bond-bond correlation function,0,0,3.34736715795265,0.0006738552010809476,,,,
example.out,bond-bond correlation function,0,1,-0.487411710086392,0.00203853351225331,,,,
example.out,bond-bond correlation function,0,2,1.71795606214051,0.001267327874273897,,,,
example.out,bond-bond correlation function,0,3,-0.648683872589138,0.002830910519399517,,,,
example.out,bond-bond correlation function,0,4,1.70050251945229,0.001713436556354533,,,,
example.out,bond-bond correlation function,1,1,1.72163691529472,0.001768172805527668,,,,
example.out,bond-bond correlation function,1,2,-0.639224930845281,0.002627397262011907,,,,
example.out,bond-bond correlation function,1,3,1.71536174039051,0.001450883861722399,,,,
example.out,bond-bond correlation function,1,4,-0.642019165295097,0.002842544193412243,,,,
example.out,bond-bond correlation function,2,2,1.71285853593094,0.001636394373890024,,,,
example.out,bond-bond correlation function,2,3,-0.640031970390432,0.002781257387095747,,,,
example.out,bond-bond correlation function,2,4,1.71165794704268,0.001432584983616904,,,,
example.out,bond-bond correlation function,3,3,1.71182295567664,0.001356757820534191,,,,
example.out,bond-bond correlation function,3,4,-0.64034200082739,0.002925420230013884,,,,
example.out,bond-bond correlation function,4,4,1.71181073070683,0.001588527963787084,,,,
example.out,bond_allx-bond_allx correlation function,0,0,2.20901521286938,0.001909826337779001,,,,
example.out,bond_allx-bond_allx correlation function,0,1,-0.790772815982014,0.003278538101757508,,,,
example.out,bond_allx-bond_allx correlation function,0,2,1.59085663236661,0.00249652368130268,,,,
example.out,bond_allx-bond_allx correlation function,0,3,-0.757470868544171,0.003008644570270597,,,,
example.out,bond_allx-bond_allx correlation function,0,4,1.59057772657549,0.002736160837833707,,,,
example.out,bond_allx-bond_allx correlation function,1,0,-0.565092064693729,0.002271621506055874,,,,
example.out,bond_allx-bond_allx correlation function,1,1,1.6017607962009,0.002518981100185383,,,,
example.out,bond_allx-bond_allx correlation function,1,2,-0.75760551748016,0.00312257834417434,,,,
example.out,bond_allx-bond_allx correlation function,1,3,1.59101075665008,0.002560787615547096,,,,
example.out,bond_allx-bond_allx correlation function,1,4,-0.757979987879895,0.003112499009172983,,,,
example.out,bond_allx-bond_allx correlation function,2,0,1.59324182552164,0.0022225553043164,,,,
example.out,bond_allx-bond_allx correlation function,2,1,-0.754278094557468,0.002992228600870899,,,,
example.out,bond_allx-bond_allx correlation function,2,2,1.59172785759805,0.002544663520258961,,,,
example.out,bond_allx-bond_allx correlation function,2,3,-0.757670598953891,0.003115529928749444,,,,
example.out,bond_allx-bond_allx correlation function,2,4,1.59075470628864,0.00242624472657879,,,,
example.out,bond_allx-bond_allx correlation function,3,0,-0.764255436394238,0.002957096990663649,,,,
example.out,bond_allx-bond_allx correlation function,3,1,1.59211811229186,0.00251271661775783,,,,
example.out,bond_allx-bond_allx correlation function,3,2,-0.756893832332328,0.003048807127404434,,,,
example.out,bond_allx-bond_allx correlation function,3,3,1.59120219221176,0.002518379375262612,,,,
example.out,bond_allx-bond_allx correlation function,3,4,-0.75746197045035,0.003039430483897456,,,,
example.out,bond_allx-bond_allx correlation function,4,0,1.57294779383523,0.002380085321265799,,,,
example.out,bond_allx-bond_allx correlation function,4,1,-0.757055464208466,0.002986190171882228,,,,
example.out,bond_allx-bond_allx correlation function,4,2,1.59149992905581,0.00252750379130135,,,,
example.out,bond_allx-bond_allx correlation function,4,3,-0.757476346455618,0.003111305416157265,,,,
example.out,bond_allx-bond_allx correlation function,4,4,1.59142525315819,0.002627632756864517,,,,
example.out,bond_ally-bond_ally correlation function,0,0,1.13835194508327,0.001257487655134536,,,,
example.out,bond_ally-bond_ally correlation function,0,1,0.06218224306192374,0.000837861780906606,,,,
example.out,bond_ally-bond_ally correlation function,0,2,0.125250740134809,0.001438197674489703,,,,
example.out,bond_ally-bond_ally correlation function,0,3,0.118229924111124,0.001157221893711369,,,,
example.out,bond_ally-bond_ally correlation function,0,4,0.117892813527335,0.001217594404343469,,,,
example.out,bond_ally-bond_ally correlation function,1,0,0.318859217441037,0.001822256059604647,,,,
example.out,bond_ally-bond_ally correlation function,1,1,0.119876119093821,0.001427514815647773,,,,
example.out,bond_ally-bond_ally correlation function,1,2,0.116394648678642,0.0008762325934226103,,,,
example.out,bond_ally-bond_ally correlation function,1,3,0.121780028656987,0.001622449733405209,,,,
example.out,bond_ally-bond_ally correlation function,1,4,0.115183808627451,0.000997240413441637,,,,
example.out,bond_ally-bond_ally correlation function,2,0,0.126562926257966,0.001591153808805981,,,,
example.out,bond_ally-bond_ally correlation function,2,1,0.117039101668424,0.00101573763308817,,,,
example.out,bond_ally-bond_ally correlation function,2,2,0.121130678332886,0.001632019187947868,,,,
example.out,bond_ally-bond_ally correlation function,2,3,0.118647689212948,0.0005837772111224722,,,,
example.out,bond_ally-bond_ally correlation function,2,4,0.117997036286098,0.001844677034175559,,,,
example.out,bond_ally-bond_ally correlation function,3,0,0.106128635649011,0.0014198101734288,,,,
example.out,bond_ally-bond_ally correlation function,3,1,0.1258145831821,0.001273166548061379,,,,
example.out,bond_ally-bond_ally correlation function,3,2,0.115852801292407,0.0009410634410557994,,,,
example.out,bond_ally-bond_ally correlation function,3,3,0.120620763464883,0.001680068486755649,,,,
example.out,bond_ally-bond_ally correlation function,3,4,0.117883444700976,0.0007656737565293678,,,,
example.out,bond_ally-bond_ally correlation function,4,0,0.119586704966531,0.001829256188142705,,,,
example.out,bond_ally-bond_ally correlation function,4,1,0.115813312870714,0.0009642701928460214,,,,
example.out,bond_ally-bond_ally correlation function,4,2,0.123064222454799,0.001666850173675683,,,,
example.out,bond_ally-bond_ally correlation function,4,3,0.116370870550212,0.0007790977964545466,,,,
example.out,bond_ally-bond_ally correlation function,4,4,0.120385477548638,0.001593950173736953,,,,
example.out,bond_xy-bond_xy correlation function,0,0,0.136446822687514,0.005057773406132741,,,,
example.out,bond_xy-bond_xy correlation function,0,1,0.22923267914752,0.006611675378810692,,,,
example.out,bond_xy-bond_xy correlation function,0,2,0.188033162544845,0.007342835948352447,,,,
example.out,bond_xy-bond_xy correlation function,0,3,0.261541360058676,0.008009164764122643,,,,
example.out,bond_xy-bond_xy correlation function,0,4,0.184574818638769,0.007391319160414098,,,,
example.out,bond_xy-bond_xy correlation function,1,0,0.225091679379691,0.007418668651768188,,,,
example.out,bond_xy-bond_xy correlation function,1,1,0.168652738797477,0.007138051689343204,,,,
example.out,bond_xy-bond_xy correlation function,1,2,0.263497780901369,0.00773391993169902,,,,
example.out,bond_xy-bond_xy correlation function,1,3,0.183177956395473,0.007229808327042651,,,,
example.out,bond_xy-bond_xy correlation function,1,4,0.26367183984126,0.007742621078495059,,,,
example.out,bond_xy-bond_xy correlation function,2,0,0.174268103525953,0.008129125099684867,,,,
example.out,bond_xy-bond_xy correlation function,2,1,0.260417636522975,0.008081887081921039,,,,
example.out,bond_xy-bond_xy correlation function,2,2,0.183138381876034,0.007267341134740216,,,,
example.out,bond_xy-bond_xy correlation function,2,3,0.262578812397893,0.007719309605153584,,,,
example.out,bond_xy-bond_xy correlation function,2,4,0.184116560054908,0.007224694765724089,,,,
example.out,bond_xy-bond_xy correlation function,3,0,0.263710248537074,0.007749262866783378,,,,
example.out,bond_xy-bond_xy correlation function,3,1,0.183936567526935,0.007356558065303932,,,,
example.out,bond_xy-bond_xy correlation function,3,2,0.261634980725049,0.007802140882315346,,,,
example.out,bond_xy-bond_xy correlation function,3,3,0.184367700506066,0.007322229088732279,,,,
example.out,bond_xy-bond_xy correlation function,3,4,0.261666274089665,0.007861146457379287,,,,
example.out,bond_xy-bond_xy correlation function,4,0,0.186706064520608,0.007649338214051576,,,,
example.out,bond_xy-bond_xy correlation function,4,1,0.264087250298212,0.00786644348539404,,,,
example.out,bond_xy-bond_xy correlation function,4,2,0.182993184681038,0.007246536656333011,,,,
example.out,bond_xy-bond_xy correlation function,4,3,0.262457193679336,0.007709134305526675,,,,
example.out,bond_xy-bond_xy correlation function,4,4,0.183765375508161,0.007179520158474944,,,,
example.out,bond0_xx-bond0_xx correlation function,0,0,1.67685219622757,0.004757186536842174,,,,
example.out,bond0_xx-bond0_xx correlation function,0,1,-0.861639794848526,0.01630906403566696,,,,
example.out,bond0_xx-bond0_xx correlation function,0,2,3.24635295778281,0.01038254841450811,,,,
example.out,bond0_xx-bond0_xx correlation function,0,3,-0.871815902530182,0.01925069625782265,,,,
example.out,bond0_xx-bond0_xx correlation function,0,4,3.23882743852925,0.00887840999701013,,,,
example.out,bond0_xx-bond0_xx correlation function,0,5,-0.785524256265477,0.01594621938771313,,,,
example.out,bond0_xx-bond0_xx correlation function,0,6,3.20401633616549,0.00938216435781731,,,,
example.out,bond0_xx-bond0_xx correlation function,0,7,-0.854288464117315,0.01165447740520188,,,,
example.out,bond0_xx-bond0_xx correlation function,1,0,-0.403977545511258,0.007869190020504948,,,,
example.out,bond0_xx-bond0_xx correlation function,1,1,3.33066052003016,0.007351351221419025,,,,
example.out,bond0_xx-bond0_xx correlation function,1,2,-0.861769342031966,0.02326377934895208,,,,
example.out,bond0_xx-bond0_xx correlation function,1,3,3.24503819695459,0.007197091023720112,,,,
example.out,bond0_xx-bond0_xx correlation function,1,4,-0.856848102365571,0.01648624017172159,,,,
example.out,bond0_xx-bond0_xx correlation function,1,5,3.25941328809306,0.008924655603669332,,,,
example.out,bond0_xx-bond0_xx correlation function,1,6,-0.796809843492283,0.01849942455656238,,,,
example.out,bond0_xx-bond0_xx correlation function,1,7,3.2694311270003,0.01136076771749566,,,,
example.out,bond0_xx-bond0_xx correlation function,2,0,3.3713707002251,0.01131059328668249,,,,
example.out,bond0_xx-bond0_xx correlation function,2,1,-0.830591754408083,0.0159489533074488,,,,
example.out,bond0_xx-bond0_xx correlation function,2,2,3.26340441999225,0.01062699496254003,,,,
example.out,bond0_xx-bond0_xx correlation function,2,3,-0.870969555301005,0.01594130085300638,,,,
example.out,bond0_xx-bond0_xx correlation function,2,4,3.24816475174342,0.007732601503031809,,,,
example.out,bond0_xx-bond0_xx correlation function,2,5,-0.881592135976784,0.0174040644162065,,,,
example.out,bond0_xx-bond0_xx correlation function,2,6,3.25128711519819,0.01184584908776239,,,,
example.out,bond0_xx-bond0_xx correlation function,2,7,-0.844864948709201,0.01056623676693137,,,,
example.out,bond0_xx-bond0_xx correlation function,3,0,-0.866341559252074,0.01499561943249148,,,,
example.out,bond0_xx-bond0_xx correlation function,3,1,3.28427792390372,0.01184312406502304,,,,
example.out,bond0_xx-bond0_xx correlation function,3,2,-0.807444293288855,0.01791037742622594,,,,
example.out,bond0_xx-bond0_xx correlation function,3,3,3.20305982549894,0.009903385653613582,,,,
example.out,bond0_xx-bond0_xx correlation function,3,4,-0.875666204992273,0.01370741933779571,,,,
example.out,bond0_xx-bond0_xx correlation function,3,5,3.23045217931851,0.008243345148501393,,,,
example.out,bond0_xx-bond0_xx correlation function,3,6,-0.853842573019139,0.01343529487007022,,,,
example.out,bond0_xx-bond0_xx correlation function,3,7,3.27241521937186,0.006435934828059855,,,,
example.out,bond0_xx-bond0_xx correlation function,4,0,3.28425480917252,0.008571574969109551,,,,
example.out,bond0_xx-bond0_xx correlation function,4,1,-0.832515624909551,0.01466555685353505,,,,
example.out,bond0_xx-bond0_xx correlation function,4,2,3.24832693644296,0.01085271713622156,,,,
example.out,bond0_xx-bond0_xx correlation function,4,3,-0.870964120713023,0.02277302315565819,,,,
example.out,bond0_xx-bond0_xx correlation function,4,4,3.22917555703956,0.0113998124851818,,,,
example.out,bond0_xx-bond0_xx correlation function,4,5,-0.871510065047622,0.02516258969036453,,,,
example.out,bond0_xx-bond0_xx correlation function,4,6,3.27212964309025,0.01427130653522103,,,,
example.out,bond0_xx-bond0_xx correlation function,4,7,-0.815681632922918,0.01171348787047959,,,,
example.out,bond0_xx-bond0_xx correlation function,5,0,-0.898586188965566,0.01197328471038997,,,,
example.out,bond0_xx-bond0_xx correlation function,5,1,3.26370800901479,0.01783811722113825,,,,
example.out,bond0_xx-bond0_xx correlation function,5,2,-0.822149458283743,0.01731115100022547,,,,
example.out,bond0_xx-bond0_xx correlation function,5,3,3.24740630331716,0.01182895597756207,,,,
example.out,bond0_xx-bond0_xx correlation function,5,4,-0.844698657644522,0.01920328950865921,,,,
example.out,bond0_xx-bond0_xx correlation function,5,5,3.22599884447613,0.01729467191743825,,,,
example.out,bond0_xx-bond0_xx correlation function,5,6,-0.856587536036012,0.01610036172433719,,,,
example.out,bond0_xx-bond0_xx correlation function,5,7,3.28845896133853,0.01489652862763084,,,,
example.out,bond0_xx-bond0_xx correlation function,6,0,3.35555468291273,0.007689996991737169,,,,
example.out,bond0_xx-bond0_xx correlation function,6,1,-0.799368825315236,0.01691371555773497,,,,
example.out,bond0_xx-bond0_xx correlation function,6,2,3.21888183984568,0.0139813609141091,,,,
